bopt,bname,Bautor,Bmemo,,,,,,,
324.7,А ТЕПЕРЬ ЛЮБИТЕ МЕНЯ,Аксель Сандр,978-5-905876-13-4,,,,,,,
105.4,АБИССИНСКАЯ КОШКА. СОДЕРЖАНИЕ И УХОД (ЦВЕТ),Белова К.А.,,,,,,,,
288,АВТОБИОГРАФИЯ.,Жанна Гийон,,,,,,,,
797.2,АВТОГРАФЫ ЗНАМЕНИТЫХ ЛЮДЕЙ В КОНТЕКСТЕ ИСТОРИИ Т.3,Козлов В.,,,,,,,,
334.9,АВТОМАТИЗАЦИЯ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ И ПРОИЗВОДСТВ: УЧЕБНОЕ ПОСОБИЕ,Иванов А.А.,,,,,,,,
983.4,АВТОМАТИКА ЭНЕРГОСИСТЕМ: УЧЕБНИК ДЛЯ ВУЗОВ,Овчаренко Н.И.,,,,,,,,
209.9,"АВТОМАТИЧЕСКОЕ УПРАВЛЕНИЕ: УЧЕБНОЕ ПОСОБИЕ - (""ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАНИЕ"") (ГРИФ)",Петрова А.М.,,,,,,,,
117.2,АВТОМОБИЛИ,Крылов Г.А.,,,,,,,,
400.3,АВТОМОБИЛИ Рабочие процессы и расчет механизмов и сиситем Учебник,Нарбут А.Н.,Для студентов вузов.,,,,,,,
349.2,АВТОМОБИЛЬНЫЕ ДОРОГИ: СТРОИТЕЛЬСТВО И ЭКСПЛУАТАЦИЯ: УЧЕБ. ПОСОБИЕ,Садило М.В.,"Пособие соответствует рабочей программе по дисциплине «Пути сообщения, технологические сооружения. Автомобильные дороги». В нем приведены основные сведения об автомобильных дорогах, истории их строительства, значении в развитии народного хозяйства страны.",,,,,,,
186.4,"АВТОМОБИЛЬНЫЙ АТЛАС ""МОСКВА С КАЖДЫМ ДОМОМ"" CРЕДНИЙ (М 1:15 000, 164 Х 248 ММ, 208 CТР .)","Смирнов А., Машарипов Б.",,,,,,,,
87.1,"АВТОМОБИЛЬНЫЙ АТЛАС ""ПЕРМЬ. ПЕРМСКИЙ КРАЙ"",""-",М.:Руз Ко,978-5-89485-138-9,,,,,,,
103.5,АВТОМОБИЛЬНЫЙ АТЛАС САНКТ-ПЕТЕРБУРГ ДЛЯ ЖЕНЩИН,-,,,,,,,,
88,АВТОМОБИЛЬНЫЙ СЕРВИС: КАК ЗАЩИТИТЬ СВОИ ПРАВА. СЕРИЯ: ВАШ ЮРИДИЧЕСКИЙ СОВЕТНИК.,С.В. Казаков,,,,,,,,
319.9,АВТОМОБИЛЬНЫЙ СПРАВОЧНИК-ЭНЦИКЛОПЕДИЯ: СПРАВОЧНОЕ ПОСОБИЕ,"Кузьмин Н.А., Песков В.И.",,,,,,,,
